City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
Monchique,0,PT,1527823800,67,37.32,-8.56,59.0,5.82
Shetpe,92,KZ,1527825371,54,44.14,52.16,65.18,6.85
Sinilian,75,PH,1527822000,55,15.7,120.46,91.4,2.24
Candelaria,75,CO,1527822000,88,3.41,-76.35,73.4,6.93
Chene-Bougeries,48,CH,1527823800,100,46.2,6.19,53.6,2.24
Viadana,40,IT,1527821700,72,44.93,10.52,66.2,9.17
La Tebaida,40,CO,1527822000,88,4.45,-75.79,69.8,1.59
Girov,0,RO,1527823800,63,46.96,26.5,60.8,5.82
Mobo,68,PH,1527825373,85,12.34,123.66,87.95,5.73
Popesti,48,RO,1527823800,82,47.23,22.42,64.4,4.7
Balili,24,PH,1527825373,88,17.05,120.93,78.77,2.82
Kildare,75,IE,1527822000,93,53.16,-6.91,55.4,2.24
San Nicolas,56,HN,1527825374,96,14.94,-88.33,69.95,1.92
Paiporta,20,ES,1527823800,82,39.43,-0.42,62.6,3.36
Pomi,0,RO,1527823800,77,47.7,23.31,60.8,6.93
Neuville-en-Ferrain,24,FR,1527823800,100,50.75,3.16,60.8,3.36
Upig,75,PH,1527822000,55,15.02,120.99,93.2,2.24
Biga,0,TR,1527825227,81,40.23,27.24,50.33,2.37
Kapuvar,0,HU,1527823800,82,47.59,17.03,64.4,4.7
Cataingan,48,PH,1527825378,98,12.0,123.99,86.06,1.36
Sinaia,0,RO,1527825379,79,45.35,25.55,51.23,1.7
Brovary,0,UA,1527822000,58,50.51,30.79,55.4,6.71
Vamberk,0,CZ,1527822000,77,50.12,16.29,60.8,1.12
Svit,0,SK,1527823800,87,49.06,20.2,51.8,3.36
Mulheim-Karlich,92,DE,1527823200,100,50.38,7.5,66.2,11.41
Calmatuiu,0,RO,1527825381,79,43.97,24.87,61.13,2.71
Batasan,75,PH,1527822000,55,14.89,120.71,93.2,2.24
Bungahan,40,PH,1527822000,56,14.86,120.84,93.2,12.75
Araruama,0,BR,1527825384,91,-22.87,-42.34,63.65,7.63
Nyzhni Petrivtsi,0,UA,1527823800,63,48.04,25.74,64.4,9.17
Nepomuceno,68,BR,1527825385,59,-21.23,-45.23,62.48,8.08
Chichi,48,NG,1527825386,93,7.27,8.93,75.71,10.65
Ramgarh,0,IN,1527825387,28,28.17,74.98,95.33,7.52
Villorba,0,IT,1527823200,88,45.74,12.23,69.8,1.12
Tananger,0,NO,1527823200,87,58.94,5.59,60.8,2.24
Taungdwingyi,56,MM,1527825388,90,20.0,95.55,81.2,6.85
Bela Cruz,8,BR,1527825389,87,-3.05,-40.17,78.5,12.33
Gulod,40,PH,1527822000,56,14.71,121.04,93.2,12.75
Tarqui,20,EC,1527825389,100,-1.52,-78.0,58.79,2.26
Yuzhou,0,CN,1527822000,15,34.16,113.47,89.6,6.71
Sebrovo,0,RU,1527825390,35,50.1,43.3,47.09,13.11
Vytegra,8,RU,1527825391,82,61.01,36.45,39.8,4.5
Kostolac,0,RS,1527823800,93,44.71,21.17,55.4,1.12
Albury,0,AU,1527822000,41,-36.08,146.92,57.2,6.93
Washington DC.,40,US,1527824220,100,38.9,-77.04,73.4,5.95
Ustek,0,CZ,1527823800,77,50.58,14.34,62.6,3.36
Lysva,88,RU,1527825393,84,58.11,57.8,35.75,12.77
Verl,68,DE,1527823200,93,51.88,8.51,64.4,2.24
Podlesnoye,20,RU,1527825394,50,54.32,47.61,39.8,9.08
Neftekumsk,20,RU,1527825395,35,44.75,44.99,67.7,12.55
Soponya,0,HU,1527825395,71,47.01,18.46,64.46,3.15
Destin,40,US,1527821760,83,30.39,-86.5,80.6,4.7
Iowa City,20,US,1527824100,83,41.66,-91.53,80.6,3.36
Cabanas,75,ES,1527823800,93,43.42,-8.16,53.6,2.24
Maricaban,36,PH,1527825397,100,11.15,123.77,83.9,4.94
Teitipac,32,MX,1527825397,76,16.95,-96.61,63.38,1.92
Palhi,32,PH,1527825398,92,13.38,121.2,84.53,3.38
Nagato,20,JP,1527822000,64,34.35,131.14,75.2,11.41
Doembang Nangbuat,32,TH,1527825399,93,14.85,100.1,83.27,5.84
Peterborough,90,CA,1527822540,83,44.3,-78.32,71.6,5.82
Rasra,92,IN,1527825400,100,25.86,83.86,74.36,14.67
Cluses,0,FR,1527823800,100,46.06,6.58,59.0,2.24
Abinsk,56,RU,1527822000,82,44.87,38.16,64.4,4.47
Thompson,90,CA,1527822000,65,55.74,-97.86,44.6,5.82
Basseterre,75,TT,1527822000,88,10.12,-61.29,78.8,5.82
Kilcullen,75,IE,1527822000,93,53.13,-6.75,55.4,2.24
Fiesole,40,IT,1527823200,88,43.81,11.29,62.6,3.36
Bolcske,0,HU,1527822900,100,46.74,18.97,57.2,2.24
Novovyazniki,0,RU,1527825404,46,56.2,42.16,42.59,13.67
Caudry,90,FR,1527823800,100,50.12,3.41,60.8,3.36
Shiggaon,80,IN,1527825405,89,14.99,75.22,78.05,3.38
Astros,0,GR,1527825407,69,37.4,22.72,58.88,3.49
Morant Bay,20,JM,1527822000,78,17.88,-76.41,82.4,11.41
Krasnoye,0,RU,1527822000,77,44.87,39.46,66.2,4.47
Karasuk,64,RU,1527825408,51,53.73,78.03,67.43,19.26
Glenview,40,US,1527824100,78,42.07,-87.81,80.6,5.82
Janja,0,BA,1527823800,93,44.67,19.24,55.4,1.12
Palmeirais,64,BR,1527825410,77,-5.97,-43.06,75.8,2.59
Makarska,0,HR,1527823800,73,43.3,17.02,71.6,1.12
Bang Rakam,20,TH,1527822000,74,16.75,100.12,87.8,5.82
Jiangyin,0,CN,1527825411,77,31.91,120.26,77.51,4.94
Tooele,1,US,1527822900,63,40.53,-112.3,75.2,28.86
Elgin,1,US,1527824100,73,42.04,-88.28,80.6,2.71
Glenvar Heights,90,US,1527822900,88,37.27,-80.15,73.4,2.93
Seraing,20,BE,1527823500,93,50.6,5.51,64.4,4.7
Rishikesh,0,IN,1527825414,90,30.11,78.3,71.66,2.71
Can,0,IT,1527823200,88,46.08,11.97,69.8,1.12
Malegaon,8,IN,1527825415,71,20.56,74.52,82.82,5.28
Kannur,56,IN,1527825415,96,11.88,75.37,77.24,2.82
Invercargill,0,NZ,1527825199,73,-46.41,168.35,45.92,4.61
Kodala,44,IN,1527825417,85,19.62,84.94,87.23,7.96
Narwana,0,IN,1527825417,41,29.6,76.12,94.16,15.46
Karakulino,64,RU,1527825418,75,56.01,53.71,40.43,11.21
Dno,0,RU,1527825418,79,57.83,29.97,46.64,2.37
Macatbong,75,PH,1527822000,55,15.5,121.08,91.4,2.24
Mandsaur,0,IN,1527825419,56,24.07,75.07,86.78,12.55
Calarasi,32,RO,1527825419,64,44.2,27.33,60.68,3.6
Esil,36,KZ,1527825420,49,51.96,66.41,63.29,17.25
Rudiskes,0,LT,1527823200,57,54.52,24.83,51.8,5.82
Salcininkai,0,LT,1527823200,57,54.3,25.38,51.8,5.82
Surat,48,IN,1527825421,100,21.19,72.81,85.61,9.64
Manaure,0,CO,1527825422,95,11.78,-72.45,82.1,25.52
Aros,48,IN,1527825423,100,15.78,73.74,83.45,4.72
Greenlaw,75,GB,1527823200,100,55.71,-2.46,50.0,3.36
Albanel,75,CA,1527822000,54,48.88,-72.44,78.8,8.05
Sabang,12,PH,1527825425,86,13.72,123.58,87.14,3.94
Gali,92,GE,1527825425,100,42.63,41.74,57.35,2.15
Fredonia,75,CO,1527822000,100,5.93,-75.67,60.8,2.24
Corlu,12,AZ,1527825426,83,40.93,47.73,59.78,0.92
Puliyur,20,IN,1527823800,58,10.94,78.14,87.8,6.93
Weymouth,1,US,1527824100,82,42.22,-70.94,68.0,5.82
Viersen,88,DE,1527823500,93,51.26,6.39,66.2,4.7
Zhumadian,8,CN,1527825429,76,33.01,114.02,82.64,3.83
Getulio,36,PH,1527825429,99,10.75,122.67,82.73,4.16
Gotemba,75,JP,1527821760,56,35.3,138.88,78.8,8.05
Bollene,0,FR,1527823800,100,44.28,4.75,59.0,3.36
Vokhtoga,0,RU,1527825430,55,58.81,41.03,40.25,13.33
Somes-Odorhei,0,RO,1527823800,77,47.32,23.27,60.8,6.93
Newark,90,US,1527824100,93,40.74,-74.17,69.8,3.71
Hernadnemeti,0,HU,1527823800,72,48.07,20.98,62.6,5.82
Alford,92,GB,1527823200,100,53.26,0.18,57.2,4.7
White Oak,40,US,1527824220,100,39.04,-76.99,73.4,5.95
Bad Durrheim,20,DE,1527823200,93,48.02,8.53,55.4,3.36
Prenza,40,PH,1527822000,56,14.0,120.65,93.2,12.75
Bahjoi,0,IN,1527825435,54,28.39,78.62,87.95,12.44
La Concepcion,100,PA,1527825435,99,8.51,-82.62,77.33,1.36
Bakel,0,SN,1527825436,40,14.9,-12.46,86.06,11.88
Cabuyaro,80,CO,1527825436,91,4.29,-72.79,75.53,3.38
Cachoeiro de Itapemirim,8,BR,1527825437,89,-20.85,-41.11,54.38,2.59
Utraula,0,IN,1527825437,62,27.32,82.42,85.52,9.64
Bucov,0,RO,1527823800,68,44.97,26.08,64.4,4.7
Amersfoort,90,NL,1527823500,100,52.16,5.39,60.8,1.12
Matiompong,44,PH,1527825439,92,6.7,124.57,81.92,3.83
Boxtel,90,NL,1527823740,100,51.59,5.33,64.4,3.36
Gastonia,40,US,1527825120,94,35.26,-81.19,69.8,4.7
San Pedro del Pinatar,0,ES,1527823800,93,37.84,-0.79,62.6,4.27
Lavumisa,0,ZA,1527825440,85,-27.31,31.88,53.39,4.94
Mange,24,SL,1527825440,88,8.93,-12.86,77.06,5.28
Fulopszallas,0,HU,1527823800,100,46.82,19.24,59.0,2.24
Pacos de Brandao,40,PT,1527823800,93,40.98,-8.58,53.6,2.24
Zumarraga,75,ES,1527823800,100,43.09,-2.32,62.6,4.7
Brumadinho,0,BR,1527822000,63,-20.14,-44.2,64.4,4.7
Deulgaon Raja,40,IN,1527822000,79,20.02,76.04,84.2,5.82
Pumiao,40,CN,1527822000,79,22.75,108.49,84.2,2.24
Nejdek,0,CZ,1527822000,100,50.32,12.73,57.2,2.24
Tiquicheo,0,MX,1527825445,64,18.9,-100.74,77.06,2.26
Pag-Asa,12,PH,1527825445,86,13.99,123.39,87.14,3.94
Popova,0,RS,1527823800,76,43.33,21.27,57.2,2.24
Pottsville,90,US,1527823200,100,40.69,-76.2,75.2,3.94
Rayon,90,FR,1527823800,93,49.17,2.04,60.8,4.7
Clayton,1,US,1527821700,42,36.45,-103.19,66.2,11.41
Merritt Island,90,US,1527823800,94,28.54,-80.67,73.4,6.93
Joigny,12,FR,1527823800,93,47.98,3.4,59.0,2.24
Trondheim,40,NO,1527823200,87,63.43,10.4,55.4,5.82
Ahmadpur,48,IN,1527825451,57,18.7,76.94,85.7,4.5
Erwitte,68,DE,1527823200,93,51.61,8.34,60.8,2.24
Yenagoa,64,NG,1527825452,94,4.92,6.26,74.36,3.94
Nikolayevka,0,RU,1527825453,79,46.73,38.57,65.9,18.48
Gavardo,40,IT,1527823200,82,45.58,10.44,66.2,6.93
Unity,92,CA,1527825454,66,52.44,-109.15,57.62,10.31
Balogo,20,PH,1527825454,100,12.98,124.02,84.89,5.84
Karcag,0,HU,1527822900,72,47.31,20.92,64.4,1.12
Komarovo,0,RU,1527822000,57,60.19,29.81,48.2,4.47
Sirsaganj,0,IN,1527825457,47,27.06,78.69,92.18,10.42
Nedryhayliv,0,UA,1527825457,40,50.83,33.88,50.69,9.64
Asheboro,1,US,1527823200,88,35.71,-79.81,75.2,3.36
Balinsasayao,44,PH,1527825458,100,10.68,124.96,82.1,4.27
Titagarh,75,IN,1527822000,89,22.74,88.38,87.8,8.05
Trinidad,100,UY,1527825459,98,-33.52,-56.9,51.95,12.77
Istres,0,FR,1527823800,100,43.51,4.99,62.6,3.36
Heythuysen,90,NL,1527823740,100,51.25,5.9,64.4,3.36
Coite do Noia,92,BR,1527825460,91,-9.63,-36.58,67.52,3.38
Viline,48,UA,1527825461,90,44.84,33.66,63.65,1.03
Geraldton,90,CA,1527823020,93,49.72,-86.95,37.4,12.75
Akhtanizovskaya,8,RU,1527822000,82,45.32,37.1,64.4,4.47
Delaware,40,US,1527822960,78,40.3,-83.07,73.4,13.87
Maxingal,32,PH,1527825463,83,18.21,121.67,87.14,2.48
Martano,75,IT,1527823200,100,40.2,18.3,71.6,1.12
Waounde,0,SN,1527822000,40,15.26,-12.87,89.6,6.93
Jork,8,DE,1527823200,68,53.53,9.68,66.2,8.05
Nyalikungu,75,TZ,1527822000,93,-2.6,33.44,66.2,11.41
Maracacume,24,BR,1527825466,92,-2.04,-45.96,72.38,2.93
Bosanski Novi,0,BA,1527825244,96,45.05,16.38,61.76,2.15
Sao Joao de Ver,40,PT,1527823800,93,40.96,-8.55,53.6,2.24
Lichinga,0,MZ,1527825468,87,-13.3,35.25,49.25,2.37
Bassersdorf,100,CH,1527823200,93,47.44,8.63,55.4,6.29
Urazovo,0,RU,1527825469,43,50.09,38.04,51.05,13.33
Volax,0,GR,1527823200,76,41.32,24.0,57.2,2.93
Steubenville,1,US,1527821760,78,40.37,-80.63,75.2,5.82
Hamilton,90,BM,1527822960,78,32.3,-64.78,75.2,11.41
Aykhal,0,RU,1527825470,70,65.95,111.51,43.49,12.33
Jenbach,20,AT,1527823200,87,47.39,11.77,59.0,2.24
Aranos,0,NA,1527825471,50,-24.14,19.11,37.01,5.84
Calapi,64,PH,1527825472,100,11.94,125.02,82.82,1.48
Arevik,75,TR,1527823800,93,40.1,44.09,59.0,2.24
Gornesti,36,RO,1527823800,87,46.67,24.65,57.2,1.12
Jiuquan,8,CN,1527825474,38,39.73,98.49,63.38,11.88
Betulia,75,CO,1527822000,100,6.11,-75.98,60.8,2.24
Brejning,8,DK,1527823200,67,55.66,9.67,59.0,9.17
Sarasota,75,US,1527824100,94,27.34,-82.53,78.8,4.7
Ust-Koksa,0,RU,1527825476,42,50.27,85.62,46.19,2.59
Narino,75,CO,1527822000,100,5.61,-75.18,60.8,2.24
Sehnde,0,DE,1527823200,93,52.31,9.96,66.2,2.24
La Ermita,75,HN,1527822000,83,14.46,-87.07,73.4,2.48
Tharad,0,IN,1527825479,54,24.39,71.63,89.39,9.75
Nyircsaholy,88,HU,1527823800,93,47.9,22.34,57.2,2.71
Volovat,0,RO,1527823800,63,47.82,25.9,64.4,9.17
Campos Gerais,24,BR,1527825481,75,-21.23,-45.76,54.83,4.27
Tiruppur,20,IN,1527823800,69,11.1,77.35,82.4,3.36
Plesna,0,UA,1527825482,35,50.14,26.99,58.43,11.21
Romanshorn,92,CH,1527823200,93,47.57,9.38,59.0,2.24
Prochnookopskaya,24,RU,1527825483,46,45.06,41.12,63.47,7.96
Palm Beach,75,AU,1527823800,67,-33.6,151.32,60.8,24.16
Nioaque,76,BR,1527825484,53,-21.16,-55.83,77.42,6.06
Kranuan,40,TH,1527822000,70,16.71,103.08,86.0,3.36
Conselheiro Lafaiete,8,BR,1527825485,87,-20.66,-43.79,46.73,3.94
Machico,75,PT,1527823800,59,32.7,-16.77,66.2,12.75
Qadirpur Ran,0,PK,1527821400,28,30.29,71.67,93.2,9.17
Socorro,32,PH,1527825487,92,13.06,121.41,84.53,3.38
Danlugan,92,PH,1527825487,100,7.89,123.37,77.51,3.38
Valea Argovei,0,RO,1527823800,68,44.35,26.79,64.4,1.12
Bagnes,75,CH,1527823200,82,46.08,7.22,59.0,4.7
Ubaque,20,CO,1527822000,82,4.48,-73.94,55.4,1.36
Ermont,75,FR,1527823800,87,48.99,2.26,60.8,8.05
Westlake,1,US,1527823020,74,41.46,-81.92,78.8,9.17
Amatitlan,75,GT,1527822000,93,14.49,-90.62,66.2,1.48
Idio,56,PH,1527825490,100,11.62,122.1,80.3,1.59
Botad,0,IN,1527825491,78,22.17,71.67,82.73,6.62
Razam,44,IN,1527825492,70,18.45,83.66,87.5,2.26
Terrassa,0,ES,1527823800,93,41.57,2.01,64.4,1.12
Chesterfield,1,US,1527824100,88,34.74,-80.09,75.2,3.36
Kissamos,20,GR,1527823200,82,35.49,23.66,62.6,4.7
Haan,92,DE,1527823200,93,51.2,7.01,66.2,4.7
Beernem,75,BE,1527823800,93,51.14,3.33,59.0,9.17
Idah,32,NG,1527825495,99,7.11,6.73,74.63,4.94
Ketsch,90,DE,1527822960,100,49.37,8.53,60.8,13.87
Athlone,24,IE,1527825496,91,53.42,-7.94,55.28,2.71
Shaunavon,92,CA,1527825497,75,49.65,-108.41,52.31,10.09
Mehkerek,20,HU,1527823800,82,46.78,21.45,62.6,4.7
Maimbung,80,PH,1527825498,100,5.93,121.03,76.97,5.73
Chaves,80,PT,1527825498,95,41.74,-7.47,41.78,2.59
Westerly,90,US,1527824100,93,41.38,-71.83,66.2,4.7
Balingcanaway,75,PH,1527822000,55,15.48,120.69,91.4,2.24
Punang,92,PH,1527825500,100,9.02,118.05,75.35,2.26
Waggaman,1,US,1527824100,83,29.92,-90.21,82.4,4.7
Madrid,20,ES,1527823800,93,40.42,-3.7,55.4,2.24
Evinayong,88,GQ,1527825503,98,1.44,10.55,70.13,2.48
Leichlingen,92,DE,1527823200,93,51.11,7.01,66.2,4.7
Tulua,0,NG,1527825504,77,12.3,4.78,77.69,6.29
Bjornevatn,75,NO,1527823200,87,69.67,29.98,48.2,4.7
Busko-Zdroj,12,PL,1527825351,75,50.47,20.72,62.12,2.93
Gekhi,32,RU,1527825505,86,43.17,45.47,64.28,9.75
Pines,90,US,1527822900,67,47.55,-122.19,59.0,5.82
Cary,1,US,1527825240,88,35.79,-78.78,75.2,8.05
Hamilton,90,BM,1527822960,78,32.3,-64.78,75.2,11.41
Balete,40,PH,1527822000,56,14.02,121.1,93.2,12.75
Maplewood,1,US,1527824160,60,44.95,-93.0,75.2,8.05
Leominster,48,GB,1527821400,93,52.23,-2.74,60.8,4.7
Firminy,20,FR,1527823800,93,45.39,4.29,57.2,2.59
Zaliztsi,0,UA,1527825509,40,49.8,25.38,62.39,11.1
El Progreso,75,HN,1527822000,100,15.4,-87.81,75.2,6.93
Karwar,92,IN,1527825510,97,14.8,74.13,77.15,1.36
Leninsk,40,RU,1527823800,66,48.69,45.2,48.2,17.9
Pundaguitan,88,PH,1527825511,100,6.37,126.17,83.54,4.61
Farah,0,AF,1527825511,16,32.37,62.11,79.76,2.48
Branesti,0,RO,1527825512,84,45.03,25.42,57.8,3.38
Apia,20,NG,1527825512,95,9.23,7.26,71.75,7.52
Zabbar,0,MT,1527822900,94,35.88,14.54,68.0,5.82
Newark,90,US,1527824100,93,40.74,-74.17,69.8,3.71
Orneta,0,PL,1527825514,61,54.12,20.13,59.78,5.95
Indang,40,PH,1527822000,56,14.2,120.88,93.2,12.75
Wiener Neustadt,0,AT,1527823200,77,47.81,16.24,64.4,4.7
Roldanillo,40,CO,1527822000,88,4.41,-76.15,69.8,1.92
Rio Grande City,1,US,1527822900,70,26.38,-98.82,84.2,11.41
Lahan,92,NP,1527825517,96,26.71,86.48,71.66,2.71
Jizan,0,SA,1527822000,66,16.89,42.56,91.4,4.7
Nkayi,64,CG,1527825517,97,-4.18,13.29,71.93,2.48
Springdale,20,US,1527821880,78,36.19,-94.13,78.8,5.73
Siilinjarvi,0,FI,1527823200,66,63.08,27.67,51.8,5.82
Vaikam,75,IN,1527823800,79,9.77,76.4,84.2,2.24
Hjortshoj,64,DK,1527823200,72,56.25,10.27,60.8,3.36
Ramsey,1,US,1527824160,73,45.26,-93.45,75.2,8.05
Skofljica,20,SI,1527823800,93,45.98,14.58,57.2,2.24
Asamankese,0,GH,1527822000,94,5.86,-0.66,78.8,5.82
Tibagon,75,PH,1527822000,62,7.23,125.86,87.8,5.82
Betafo,20,MG,1527825521,84,-19.84,46.86,39.44,4.16
Doncaster,80,GB,1527823200,100,53.52,-1.13,57.2,4.7
Charter Oak,90,US,1527821760,59,45.82,-122.56,60.8,8.05
Krosno,0,PL,1527823800,93,49.69,21.77,57.2,3.36
Quime,56,BO,1527825524,99,-16.98,-67.22,43.22,1.7
Kuchurhan,0,UA,1527822000,49,46.74,29.98,68.0,15.66
Surendranagar,0,IN,1527825525,71,22.72,71.65,84.62,8.19
Ilava,20,SK,1527823800,93,49.0,18.23,60.8,4.7
Marhaura,40,IN,1527822000,74,25.97,84.87,84.2,11.41
Novomikhaylovskiy,12,RU,1527825526,93,44.26,38.86,61.31,1.7
Riachao do Jacuipe,88,BR,1527825527,98,-11.81,-39.39,67.88,3.38
Mokrous,0,RU,1527825528,46,51.24,47.51,47.54,14.79
Horqueta,88,PY,1527825528,99,-23.34,-57.05,68.15,2.26
Chimoio,0,MZ,1527822000,82,-19.11,33.48,57.2,4.7
Abraveses,20,PT,1527822000,93,40.68,-7.92,51.8,2.59
Sultanpur,48,IN,1527825530,71,26.26,82.07,84.26,13.67
Krasna,0,PL,1527823800,93,49.78,21.86,57.2,3.36
Belgaum,44,IN,1527825532,88,15.87,74.5,78.68,3.04
Kibiti,0,TZ,1527825533,78,-7.72,38.94,75.35,4.38
Sieut,36,RO,1527823800,87,46.98,24.65,57.2,1.12
Embu,68,KE,1527825533,98,-0.54,37.46,59.78,1.7
Khandela,0,IN,1527825534,37,27.61,75.5,92.36,4.38
Blieskastel,75,DE,1527823200,100,49.24,7.26,60.8,11.41
Banos,90,FR,1527823800,93,43.74,-0.62,60.8,3.36
The Hammocks,40,US,1527823800,83,25.67,-80.44,80.6,7.63
Csenger,44,RO,1527823800,93,47.84,22.68,60.8,2.15
Sumatac,0,BA,1527825538,94,45.1,15.86,57.62,2.15
Gosforth,90,GB,1527823200,100,55.0,-1.62,53.6,3.71
Prigorodnyy,0,RU,1527825539,42,47.93,40.05,57.71,16.46
Cocobeach,40,GA,1527823800,88,1.01,9.58,78.8,10.29
Nucsoara,0,RO,1527825540,89,45.33,24.78,49.52,0.36
Langenzersdorf,0,AT,1527823800,77,48.31,16.36,64.4,4.7
Witu,64,KE,1527825541,98,-2.39,40.44,73.1,5.61
Tomislavgrad,0,BA,1527823800,88,43.71,17.23,62.6,4.7
Novi,90,US,1527824700,61,42.48,-83.48,78.8,6.93
Nizhniy Kislyay,0,RU,1527825542,46,50.86,40.17,46.01,10.65
Grdelica,0,RS,1527823800,76,42.89,22.07,57.2,2.24
Shostka,0,UA,1527825544,48,51.86,33.47,48.08,8.19
Guanay,92,BO,1527825544,91,-15.5,-67.88,65.63,1.03
Rovereto,20,IT,1527821700,81,45.89,11.05,44.6,5.82
Grindavik,90,IS,1527822000,81,63.84,-22.43,42.8,5.82
Duekoue,88,CI,1527825545,94,6.74,-7.35,74.45,3.94
Svarychiv,0,UA,1527823800,93,48.96,24.19,55.4,4.61
Caratinga,56,BR,1527825546,95,-19.79,-42.14,56.72,3.38
Shaoguan,64,CN,1527825547,82,24.81,113.59,77.15,3.04
Idar,75,DE,1527823200,100,49.72,7.3,60.8,13.87
Marabba,32,SD,1527825548,93,12.35,32.18,73.28,2.93
San Vicente,40,SV,1527821400,94,13.64,-88.78,75.2,4.7
Sharya,20,RU,1527825550,47,58.37,45.52,40.52,8.86
Konstantinovskiy,0,RU,1527825551,50,57.83,39.59,42.14,10.31
Chochkan,40,AM,1527823800,77,41.18,44.83,64.4,9.17
Cosoveni,0,RO,1527823800,82,44.25,23.93,60.8,5.82
Suditi,32,RO,1527825553,64,44.58,27.6,60.68,3.6
Rumes,20,FR,1527823800,100,50.56,3.3,60.8,3.36
Qiryat Yam,20,IL,1527822240,88,32.85,35.07,68.0,5.82
Saint-Gabriel,80,CA,1527825554,74,46.3,-73.38,74.45,8.86
Manamadurai,20,IN,1527822000,66,9.68,78.45,86.0,11.1
Warren,1,US,1527824700,65,42.48,-83.03,78.8,5.82
Garmsar,48,IR,1527825556,49,35.22,52.34,67.16,2.15
Shorkot,0,PK,1527825556,38,30.83,72.08,89.3,6.96
Burla,24,RU,1527825557,55,53.34,78.33,65.36,17.02
Luzilandia,64,BR,1527825557,71,-3.46,-42.37,79.85,4.38
Todiresti,0,RO,1527823800,63,47.32,26.83,68.0,9.17
Thies,40,SN,1527822000,94,14.83,-17.11,71.6,5.82
